comparator,feedback_noise_alpha,feedback_bias_alpha,units,operating_conditions,median_log_R_ratio,ci_low_log_R_ratio,ci_high_log_R_ratio,median_log_R_abs_ratio,ci_low_log_R_abs_ratio,ci_high_log_R_abs_ratio,median_R_ratio_reduction_percent,ci_low_R_ratio_reduction_percent,ci_high_R_ratio_reduction_percent,median_R_abs_ratio_reduction_percent,ci_low_R_abs_ratio_reduction_percent,ci_high_R_abs_ratio_reduction_percent,R_pta_lower,R_abs_pta_lower
LFTA,0.0,0.1,288,24,-0.6530984180604731,-0.818698114361063,-0.5044301650138816,-0.08974630592228666,-0.1451224133769314,-0.05563321218278182,47.95692360176771,39.61504279804252,55.899458044086444,8.583692638652508,5.411398826282765,13.508359070834919,0.9756944444444444,0.7361111111111112
LFTA,0.0,0.2,288,24,-0.5461625963812429,-0.6980553227675882,-0.3240938169748405,-0.04946011450045215,-0.08940984064846255,0.020105985299136743,42.08319469050994,27.681760758716123,50.244805847979876,4.825688187086163,-2.0309472101062154,8.552929050614877,0.9027777777777778,0.5763888888888888
LFTA,0.05,0.0,288,24,-0.6874286696532529,-0.8398406679099322,-0.5415653139016715,-0.11555753767501005,-0.23291711035924215,-0.08239582247573435,49.71325535990084,41.81632180118855,56.8220685750771,10.913068778656154,7.909262929034721,20.778076242915454,0.96875,0.84375
LFTA,0.05,0.05,288,24,-0.6869681904146916,-0.8338871510772035,-0.5218715920736703,-0.11959302685698431,-0.2149032446629743,-0.08513432015696512,49.69009402577175,40.659111136412285,56.56424130558515,11.271853702609459,8.16110820272733,19.338051885842454,0.9722222222222222,0.8263888888888888
LFTA,0.05,0.1,288,24,-0.6504489074148707,-0.8076435998742453,-0.4771988137474288,-0.08936873812142596,-0.1412738183781541,-0.06096827318190685,47.81885208661683,37.94808507083985,55.409243413895126,8.549170267661555,5.914691042268694,13.174846408193053,0.9756944444444444,0.7430555555555556
LFTA,0.05,0.2,288,24,-0.5426914872600153,-0.6835298731666282,-0.3110355631723972,-0.05189827259779162,-0.0879096696000488,0.021300382344174168,41.881809827110104,26.731218129721235,49.51681488469153,5.0574555485430555,-2.1528854788139817,8.41563984941952,0.8958333333333334,0.5763888888888888
LFTA,0.1,0.0,288,24,-0.6741806674025601,-0.8209844861542647,-0.5126357086964497,-0.10114312872158861,-0.23759990128722575,-0.07974931015179772,49.04262399933111,40.108506862882805,56.00017309937462,9.619633663506665,7.665220870738343,21.14818869283618,0.96875,0.8125
LFTA,0.1,0.05,288,24,-0.6669750005566147,-0.8074963653527076,-0.5105777375717537,-0.11905563152010906,-0.1942927924105623,-0.0820542688790714,48.67411604621651,39.98512498476649,55.402677631841144,11.224158796177342,7.877803634357006,17.658322121311453,0.9722222222222222,0.8090277777777778
LFTA,0.1,0.1,288,24,-0.6335415469219916,-0.7820238353133064,-0.4895139398810997,-0.09030033281590286,-0.14750477966943987,-0.055709354336249614,46.929106175523486,38.70757601780062,54.252078880654985,8.634325704110669,5.418600731881861,13.714168586599573,0.9652777777777778,0.7118055555555556
LFTA,0.1,0.2,288,24,-0.5463734879002538,-0.6850734424855088,-0.3124275091548962,-0.04447050191191529,-0.08564973894566955,0.01418672643977519,42.09540756571675,26.833133369578654,49.594679070510786,4.3496185288740215,-1.4287835613577382,8.208431496388446,0.8958333333333334,0.5798611111111112
