family,feedback_noise_alpha,feedback_bias_alpha,units,operating_conditions,median_log_R_degradation,ci_low_log_R_degradation,ci_high_log_R_degradation,median_log_R_abs_degradation,ci_low_log_R_abs_degradation,ci_high_log_R_abs_degradation,median_R_degradation_percent,ci_low_R_degradation_percent,ci_high_R_degradation_percent,median_R_abs_degradation_percent,ci_low_R_abs_degradation_percent,ci_high_R_abs_degradation_percent
SETA,0.05,0.1,144,24,0.03913171077176911,0.014821416987236146,0.0632443159420214,0.0006884896187140201,-0.0018316585923715007,0.028105968549205666,3.9907441642245556,1.4931798852318767,6.528707405527396,0.06887266820936623,-0.18299821294974225,2.850466779441553
SETA,0.05,0.2,144,24,0.1482916304528259,0.09923287711231164,0.19164191395633295,0.06421264469584637,0.006507124221670621,0.5500011183473942,15.985109494610377,10.43234412705713,21.12367123375794,6.631912176025123,0.6528341550787825,73.32549562474752
SETA,0.1,0.0,144,24,0.008421464185731156,0.001116695932406124,0.023394131679391434,-0.006355049662219052,-0.010895075115722953,-0.0040035705366410984,0.8457024468368382,0.11173196694621206,2.3669920794356702,-0.6334899042773272,-1.083593874475064,-0.39955669326803955
SETA,0.1,0.05,144,24,0.015869870680495626,0.0032251166686940885,0.03494749778141014,-0.006146737725457504,-0.009121645526925593,-0.0025246115250895365,1.5996465874739452,0.32303229529108757,3.5565337894604956,-0.6127885180119774,-0.9080169523967507,-0.252142737355876
SETA,0.1,0.1,144,24,0.04187593289786268,0.01579864592804225,0.06582057530750987,-0.0025438579879353542,-0.008330656777772734,0.03502028600642172,4.276509788107036,1.5924104354960278,6.803506810955673,-0.2540625123101335,-0.8296053013962523,3.564071760077805
SETA,0.1,0.2,144,24,0.13918466001774613,0.09759561957073454,0.18591848570754585,0.06117127295731216,0.0025447608124382045,0.6277990229364756,14.93363168736867,10.251685871203216,20.432408675059023,6.308097561820679,0.2548001464546257,87.34825459649088
SETA,0.2,0.0,144,24,0.025664368811064542,0.011338051583695965,0.05302433271905056,-0.017235483921676627,-0.02504460511639934,0.0022398039730950918,2.5996534241964966,1.1402570901105307,5.445530257182571,-1.7087802638684584,-2.4733590813586908,0.22423142078087377
SETA,0.2,0.05,144,24,0.03476840770540442,0.01580960771983616,0.0627458897772448,-0.01763156220436342,-0.024118102186354583,0.05193610850399616,3.5379895025516923,1.5935240764508019,6.475623940649511,-1.7477035725372576,-2.382958491050961,5.330844291128045
SETA,0.2,0.1,144,24,0.05505587185562143,0.03126718233980061,0.08918277801665016,-0.01294229448186591,-0.023105603777256373,0.13301604783850735,5.659964720928885,3.1761135417220476,9.328046570055648,-1.2858903134768551,-2.2840713387279448,14.226832912148685
SETA,0.2,0.2,144,24,0.14249771042287943,0.09173171359884506,0.19336015608781115,0.07480414265272564,-0.014456071471059963,0.7624007376135921,15.31504407274814,9.60707217616702,21.3319699313425,7.767306002669272,-1.435208415561795,114.34158276031366
SETA,0.4,0.0,144,24,0.10384369152083481,0.057913993860431716,0.16749732717002225,-0.07785006416666493,-0.10972732500016774,0.6139694100762582,10.94270285103556,5.962385763373712,18.234212998120952,-7.489687774689305,-10.392155982437732,84.77513440416419
SETA,0.4,0.05,144,24,0.11496749554513397,0.061329661850447074,0.16928362170645397,-0.07904279883394846,-0.1055132883271038,0.6390683435063544,12.183697228006682,6.324936917273005,18.445602872898572,-7.599962253991281,-10.013748490011476,89.47148333804907
SETA,0.4,0.1,144,24,0.13447185704881548,0.08879748640463338,0.19472410527183193,-0.0543172039839772,-0.09868653654698611,0.86307812919503,14.393246491386066,9.28593150456576,21.49757348446808,-5.286837507743546,-9.397333023616364,137.04460144565934
SETA,0.4,0.2,144,24,0.22063656258461564,0.16250721361648512,0.30930917971924926,0.2552954978959882,-0.05603893560259009,1.4057845750583735,24.687018892778568,17.645680492628337,36.24835576726444,29.08430059131747,-5.449767852893168,307.872555258816
