pop,n,step_ratio,pattern,family,threshold_range,threshold_mode,gain_scheme,kill_percent,config,repetitions,R,R_abs,R2_norm,R2_max_norm,post_removal_R,post_removal_R_abs,post_removal_R2_norm,post_removal_R2_max_norm,comparator_post_removal_R,comparator_post_removal_R_abs,comparator,post_removal_R_reduction_percent,post_removal_R_pta_lower,post_removal_R_abs_reduction_percent,post_removal_R_abs_pta_lower
500,4,1.5,sharp,PTA,HT1,latent,Global,30,PTA-HT1-latent-Global,100,1.77993174,1.7871279899999999,2.48357931,4.75708115,2.378478,2.39854858,3.3222901300000003,4.75708115,2.7337288799999997,2.76242465,SETA,12.995102864772745,True,13.172343723474956,True
500,4,1.5,sharp,PTA,HT1,latent,Global,40,PTA-HT1-latent-Global,100,18.208799759999998,16.04146231,21.48718913,72.04789265000001,35.23621407,30.90721725,41.329509740000006,72.04789265000001,35.2230042,30.96288519,SETA,-0.03750353015035124,False,0.17978925303118176,True
500,4,1.5,sharp,PTA,HT1,latent,Global,50,PTA-HT1-latent-Global,100,24.93283976,29.64364806,28.28510701,83.67335042999999,48.68429436,58.111588819999994,54.92534552,83.67335042999999,48.67947111,58.17131773,SETA,-0.009908180779327758,False,0.10267759495707907,True
500,4,1.5,sharp,PTA,HT2,clamped,Agent,0,PTA-HT2-clamped-Agent,100,1.00314263,1.06159717,1.332503,2.9835421600000003,1.0168635000000001,1.14479574,1.3475652400000002,2.9797748100000003,1.75275786,1.9847455999999999,SETA,41.9849413768996,True,42.320278226086,True
500,4,1.5,sharp,PTA,HT2,clamped,Agent,5,PTA-HT2-clamped-Agent,100,1.06539665,1.1160891,1.41474534,3.10539163,1.1413714799999999,1.25377952,1.5120498800000002,3.10539163,1.90087545,2.1200464500000002,SETA,39.955483143306424,True,40.86075236700594,True
500,4,1.5,sharp,PTA,HT2,clamped,Agent,10,PTA-HT2-clamped-Agent,100,1.13972719,1.18502528,1.51452801,3.25123874,1.2900325799999999,1.3916519600000001,1.7116152900000001,3.25123874,2.06649111,2.27058806,SETA,37.573765802457295,True,38.70962397291915,True
500,4,1.5,sharp,PTA,HT2,clamped,Agent,20,PTA-HT2-clamped-Agent,100,1.35222292,1.38586708,1.8028252900000001,3.5905141400000002,1.7150240099999998,1.79333551,2.28820985,3.5905141400000002,2.50035861,2.67313379,SETA,31.408878584820286,True,32.91261676805186,True
500,4,1.5,sharp,PTA,HT2,clamped,Agent,30,PTA-HT2-clamped-Agent,100,1.82123809,1.83501871,2.44318196,4.20966348,2.65305432,2.6916386899999996,3.56892313,4.20966348,3.2219355899999997,3.34508311,SETA,17.65650659701735,True,19.53447488484077,True
500,4,1.5,sharp,PTA,HT2,clamped,Agent,40,PTA-HT2-clamped-Agent,100,17.88030733,15.82151429,21.05535605,71.2306485,34.771192889999995,30.664629879999996,40.79327141,71.2306485,35.10650112,31.07219544,SETA,0.9551171985321516,True,1.311672877402592,True
500,4,1.5,sharp,PTA,HT2,clamped,Agent,50,PTA-HT2-clamped-Agent,100,24.742870710000002,29.461352480000002,28.02104243,83.30751576,48.49631997,57.94430635,54.72464419,83.30751576,48.73524324,58.36651958,SETA,0.49024741463463695,True,0.72338257110105,True
